homeownership_rate,median_gross_rent,rent_burden_rate,vacancy_rate,poverty_rate,gini_index,median_household_income,childhood_poverty_rate,labor_force_participation_rate,youth_unemployment_rate,hs_or_higher_rate,bachelors_or_higher_rate
0.6144087463256149,2308,0.3152779635326111,0.017132140503826852,0.09414464786505934,0.43,103358,0.004186158160666507,0.6668614718614718,0.014151708916225778,0.9131976395701249,0.3390543084598955
0.5708400214018191,1386,0.21119561151976063,0.06233538191395961,0.1338391938677315,0.4381,71114,0.006271638258099483,0.5820913722089747,0.0032818937225054115,0.9280395488954117,0.24748957206859262
0.5162079715731956,3077,0.2629573170731707,0.05193071666931511,0.09776745579862152,0.4869,151234,0.00719208870242733,0.6672091376218676,0.0,0.860956277166965,0.5533452654904969
0.7208295694068052,1694,0.3194013752190913,0.024669603524229075,0.12160935471591297,0.3956,80321,0.007017989087466203,0.6546769150599271,0.007860227250114421,0.7354910536779324,0.12466003976143142
0.5828826243404932,1814,0.27287642233395076,0.05770390863894494,0.10825829551900171,0.4773,89052,0.0038109756097560975,0.6722128733697939,0.0,0.8279890059551076,0.3488559924777588
0.5625513248303032,1903,0.2698714445262933,0.03910463861920173,0.1340184740992089,0.4349,88175,0.002687909930640873,0.6614296781906631,0.0034247186201237893,0.8402298172087441,0.2875863290242607
0.645709986588597,2158,0.30223432739359246,0.03073825716142737,0.05573392607228122,0.4309,107888,0.0013425283862428835,0.6260843062784264,0.008125819134993446,0.9650265124445268,0.44320337382987923
0.5386644666314265,1779,0.24794397327165252,0.07452416548936773,0.13706559986433728,0.452,85928,0.004902357525234423,0.6623687931308931,0.007821003972349057,0.8722821406602419,0.37920032807053516
0.45557791501862005,1969,0.26753621956918894,0.054913105257405184,0.1714832438871394,0.425,80580,0.008002635864227647,0.6013541429523015,0.003491306786315199,0.5811602991712149,0.15297947719511026
0.4886903837191238,1561,0.3320572418193419,0.036247398601608,0.19237823424214565,0.4225,63328,0.008516399328567443,0.6274595929318051,0.004938038028568726,0.7652087098466741,0.1425989622806506
0.522239263803681,2181,0.282747215331485,0.05178264510158213,0.12227171699323916,0.4291,97970,0.0015902390938427058,0.6508991527739819,0.000940528375405183,0.8948598418223638,0.42628011955572503
0.4662271269431401,2389,0.26461034434685626,0.06858933039458272,0.11345355718599824,0.4642,105780,0.0026531020249256306,0.6947197104201935,0.005149699115920854,0.8988178290820773,0.5203152183994268
0.37141390275437,2356,0.19714690123198106,0.11028762887337586,0.12041552818740708,0.5271,126730,0.0012782778157270863,0.6932948919678789,0.0029336615902915844,0.8910769877607299,0.6037601981036705
0.5560805364264603,2574,0.2604751120451037,0.041654852354857566,0.08500658844199034,0.4709,136229,0.0019336554349417498,0.6819199368744093,0.0050001922446670415,0.8583578172878477,0.4755896318092408
0.576777957449507,2193,0.25412046748576567,0.037506103515625,0.10424065667850507,0.4577,84657,0.003245760519321683,0.6483240698729582,0.0017058501913613997,0.8099466587873039,0.3100010885961775
0.6114477040816326,2362,0.2715633976200246,0.053283018867924525,0.09303432019203738,0.4199,96214,0.002043640924720486,0.6695277272367692,0.0,0.8488441884986617,0.4248519750182497
0.49893202663651215,3002,0.17657973921765296,0.04607234460771388,0.0821497387815101,0.4586,152913,0.00042708726485369777,0.6816724322212134,0.0,0.8832959197147762,0.5831242572296316
0.46118469903470743,1999,0.24938875305623473,0.03299477688860065,0.10064597129883816,0.4102,85914,0.0036071609789099803,0.6660534342990754,0.002500727646405427,0.6674224491154018,0.16477958721919592
0.3875184810520582,2285,0.32490577224410283,0.06691998644658502,0.12819170592683068,0.5012,100041,0.00037224451811783865,0.6547139185716218,0.0,0.8843149672788685,0.49541602581501254
0.7537215812468933,2597,0.2720029744515855,0.033124644280022764,0.05390160526516221,0.4023,118489,0.0011245368565834689,0.658310575174232,0.006007249254374477,0.9050253158870828,0.4085194858532641
0.4962704946872141,1801,0.3526576796814975,0.04170740753228362,0.1980287971808496,0.4255,77564,0.009681652580091587,0.6604760724026779,0.0,0.6281685965114555,0.167954144911304
0.5643893634257614,2072,0.23513866231647634,0.03481529239084213,0.11418887867647058,0.4458,93106,0.0032915900735294118,0.670725827559131,0.004518381597864038,0.8485254484061832,0.3396657476534184
0.7447399672858456,2406,0.37447331460674155,0.0172854185933853,0.07670211318882675,0.429,117351,0.001752322427326628,0.6637158703071673,0.006369333703416943,0.8907813968921086,0.418890670795775
0.42177813434468675,1469,0.26147830474268413,0.02057289806414744,0.13837786132182503,0.4018,71760,0.0008898182546214936,0.6467296776194265,0.0,0.5680290358213665,0.10276155909736469
0.5407068011459519,1492,0.2648196013927755,0.06338791788425134,0.1633777687796175,0.4338,76191,0.008167939414261943,0.6336818990280406,0.010140275948493024,0.7619555572795198,0.20577183225612505
0.41634896861597115,2972,0.1495057300323681,0.06038508283758715,0.05008138723715244,0.4494,189443,0.0023917881938677206,0.7686617784812171,0.0004937597176114636,0.9598085342149721,0.7193409507892968
0.6248149493030921,2281,0.2179124478856462,0.026988095885198675,0.0617741289547457,0.3423,121795,0.0025394109294790113,0.7080001903674091,0.0,0.9393893900724707,0.39827489729906784
0.722279994800468,2743,0.25454403619627114,0.04426867649494782,0.06369726657690179,0.4189,139172,0.0,0.6407729007633588,0.0037377332360430658,0.9551938036858163,0.5522757720062593
0.5740740740740741,2049,0.22390883861744176,0.09757083057230133,0.07264787039115855,0.4206,109019,0.0003693591257052225,0.6313528865202223,0.0024435620470385695,0.9471170612624482,0.5287325144340683
0.6789096126255381,2502,0.18978999106344951,0.04192439862542955,0.04394771348959187,0.4177,123525,0.002089821340763809,0.6695655515139095,0.004629186831685062,0.8247639704006124,0.2649113294207706
0.5609767730242763,1382,0.21662140141227593,0.036354444342310874,0.16874664709038031,0.3902,77286,0.01084225089646215,0.6699875708847977,0.0,0.811471851029958,0.12258189010564909
0.5775915822291504,1618,0.2203155272626626,0.03381278710746291,0.09591129009704394,0.3955,81595,0.0010487457001426294,0.6573025831551645,0.0,0.8358964459601484,0.2621452930956824
0.5291834774255524,2615,0.26858728474659266,0.03952612931798052,0.08005202029306482,0.441,107537,0.0,0.7055967786455374,0.0,0.8661680070487224,0.430646945241175
0.5674143279962914,2095,0.21869590305828043,0.062044283898588536,0.07516063794383432,0.4086,114165,0.00325115838517267,0.6687373458494387,0.0,0.899839440024535,0.3882484530316971
0.6675737088675063,2155,0.22413502109704642,0.03177879783795529,0.09110231298187123,0.4328,104278,0.002240050010418837,0.5959965999832394,0.009963240463612076,0.899465826599096,0.29415148609779485
0.5712568987003739,1981,0.27317554240631164,0.07506741041104913,0.12345972925714004,0.4212,91800,0.004104652212818008,0.6324560037377356,0.0024470573750307806,0.8961908011314235,0.2874894066630714
0.5975867581085959,1589,0.37551255766273706,0.061235356762513314,0.19492359842762333,0.503,67099,0.007185430712454997,0.6046200821391292,0.016102228174058954,0.7915705497885429,0.1332059784698193
0.6162944309127688,1534,0.2124912582710205,0.04763215317777035,0.0996093069899924,0.3821,79777,0.007221901094079712,0.6382657939251305,0.0053868756121449556,0.8701976387711173,0.24593959950427238
0.5477938869013996,2245,0.3471200555170021,0.027764217720283133,0.08790643082181908,0.4138,92224,0.0018326709634907234,0.6951107855704084,0.0,0.7942683884074924,0.26826527942376066
0.5842291620147373,2143,0.2905477980665951,0.04339202343535443,0.11040016733060154,0.3864,96525,0.00539070744716251,0.6575098475766399,0.0,0.8011746506201002,0.25198615590340595
0.5106576917683354,2046,0.38271958733342887,0.0607218124341412,0.12948243362932346,0.4664,81443,0.003622283287534349,0.6137845346288618,0.0,0.7953390297250941,0.2952524823364648
0.5861064588946334,1850,0.2318789584799437,0.06885445977557039,0.11743845464888286,0.4371,95895,0.0,0.658372132857877,0.0030510879848628194,0.8985877905037252,0.3209718670076726
0.586539687938438,1403,0.19023136246786632,0.04761711948819695,0.18848167539267016,0.4178,74210,0.0051182776775631714,0.5982408438110185,0.0,0.7721477102267714,0.17449042618900557
0.7324104267109448,1804,0.2586722488038278,0.05610106121832396,0.055748646778722884,0.4349,114384,0.0009604818688698059,0.7108064919812864,0.0027221018418201516,0.9550427011797852,0.5368242648353584
