NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5
"Apple Valley town, California",6,2364,4,4,3.589569658223743e-07,4.657236933723188e-18,0.000868989448254036,4.693630386847077e-10,0.999130651125417,1.5253647347562329e-240
"Arden-Arcade CDP, California",6,2553,4,2,0.0004475779077889058,3.5063854714424675e-06,1.4026078199644643e-09,1.3025199344844105e-07,0.9995085285187082,4.0255533429911564e-05
"Bakersfield city, California",6,3526,0,1,0.9999999874421671,1.1756633469522305e-08,7.279995794355172e-11,7.283992779423962e-10,0.0,3.237082598538311e-47
"Baldwin Park city, California",6,3666,4,1,0.04043304123192804,7.860760624621925e-57,1.3577598995430185e-33,9.782958372912348e-17,0.9595669587680712,2.5162870246430475e-130
"Bellflower city, California",6,4982,4,3,4.159377065227535e-06,1.9489582815961937e-28,0.00014126720681676447,5.422639904436363e-16,0.999854573416117,8.714640648213259e-140
"Berkeley city, California",6,6000,1,2,1.574326663621967e-14,0.9999999964048669,3.557675935497181e-09,3.855066788297507e-26,0.0,3.744095433550517e-11
"Buena Park city, California",6,8786,4,4,0.0008300728228176793,2.6642480744038307e-18,8.970043651539584e-07,1.7473768101729632e-32,0.9991690301728173,7.885419512675579e-31
"Burbank city, California",6,8954,4,2,9.234501300379945e-07,5.8747969250302065e-08,7.427981520081969e-05,6.205018494976899e-13,0.9999247379860796,1.5858197170028467e-42
"Camarillo city, California",6,10046,4,4,4.1975988137534576e-05,2.253262026970364e-12,7.3437923529419e-08,7.866320447636406e-41,0.9999579505716859,1.325517886314415e-161
"Carson city, California",6,11530,4,4,0.0004079755760437302,1.6076572931810647e-24,3.886753975883874e-05,1.0908122666498452e-24,0.9995531568841974,5.677731697319195e-190
"Castro Valley CDP, California",6,11964,4,0,4.431694999143552e-08,9.321764509396748e-37,0.027845110377961484,2.262074638065291e-73,0.9721548453050894,0.0
"Chico city, California",6,13014,5,5,2.747379978480506e-08,1.3617572503762663e-16,1.6297594093808697e-25,6.477858267820336e-09,0.0,0.9999999660483422
"Chino city, California",6,13210,4,4,0.001865090037528895,1.5592317385854055e-16,1.477887380642904e-05,9.747325061856627e-37,0.9981201310886644,3.352114301714524e-57
"Chino Hills city, California",6,13214,4,0,1.0251451552958163e-08,2.532151576418989e-71,0.0275329847321242,5.516301616601284e-63,0.9724670050164248,0.0
"Chula Vista city, California",6,13392,0,4,0.9915512691209576,1.8888213185025237e-11,0.008448730860153821,3.9129195914690887e-29,0.0,2.5266813513198363e-42
"Clovis city, California",6,14218,0,4,0.9470445544209687,1.669980977293586e-05,0.05293874575330862,1.5949311096113237e-11,0.0,4.787836296705088e-60
"Compton city, California",6,15044,0,1,1.0,1.8608317330045754e-33,5.463031828546204e-29,5.664960599615175e-21,0.0,2.1015167327131286e-34
"Concord city, California",6,16000,0,4,0.9998448043042512,7.092866198373284e-07,0.0001544864091286333,3.2520009545618525e-25,0.0,1.4393661571042512e-128
"Corona city, California",6,16350,0,4,0.9925454917580502,1.0562557962264623e-16,0.0074545082419496,7.743987548317076e-24,0.0,1.091054744059598e-166
"Costa Mesa city, California",6,16532,0,0,0.9995584174370512,1.6625952611722255e-13,0.0004415825627830168,8.35047257077767e-29,0.0,9.092109363502368e-206
"Daly City city, California",6,17918,4,0,3.5486057713495263e-09,7.475378893916407e-26,3.2550776045828064e-09,4.857772339246213e-39,0.9999999931963162,0.0
"Davis city, California",6,18100,1,2,7.034203385581542e-36,0.9999999460532202,5.705116352785756e-67,6.644439089270867e-35,5.394678065902653e-08,3.1303848661697163e-70
"Downey city, California",6,19766,4,4,0.00038744809425614015,1.939754112334429e-14,2.5779551780836972e-09,5.905030721665758e-18,0.9996125493277693,1.2867178223984611e-40
"East Los Angeles CDP, California",6,20802,0,1,1.0,3.1536401939053943e-55,5.786197383082235e-54,1.0671218103003645e-28,0.0,1.5747854447249615e-16
"El Cajon city, California",6,21712,0,1,0.9999999824887597,1.7486779491728333e-08,2.446130359249547e-11,4.570154378089411e-17,0.0,8.20668602040811e-18
"Elk Grove city, California",6,22020,0,4,0.9603397372301105,9.873134516013376e-09,0.03966025289675589,6.474302403480993e-46,0.0,1.9138712974910428e-107
"El Monte city, California",6,22230,0,1,1.0,2.39191566546178e-43,3.8336459189070276e-41,6.374399680244219e-23,0.0,2.2103975508179565e-26
"Escondido city, California",6,22804,0,4,0.9999308857247626,6.627172813676685e-15,6.911427523081002e-05,6.021671480482109e-23,0.0,1.2071145729216742e-102
"Fairfield city, California",6,23182,0,4,0.9999984890570995,1.4793661317751906e-06,3.1576768875466603e-08,1.4978920576134086e-23,0.0,2.573278598402328e-85
"Folsom city, California",6,24638,4,0,3.201483837766336e-06,4.648845339953194e-31,0.06255342159680571,4.258576230081301e-60,0.9374433769193566,4.537419270968178e-279
"Fontana city, California",6,24680,0,4,0.999998678377094,2.180314551973075e-30,1.321622905232527e-06,5.797703711261569e-28,0.0,1.0005269562139016e-308
"Fremont city, California",6,26000,2,0,2.331062424032598e-12,3.645744915413875e-55,0.9999999999976685,1.503822391989844e-135,0.0,0.0
"Fresno city, California",6,27000,0,1,0.999957964138405,1.1459684655636136e-07,4.547790077565421e-19,1.3627624272597052e-06,0.0,4.055850232143822e-05
"Fullerton city, California",6,28000,0,4,0.9993185473759173,1.04904319279962e-07,0.0006813477197578346,6.024292667529681e-15,0.0,1.3414879661913452e-37
"Garden Grove city, California",6,29000,0,1,1.0,1.213181723518318e-27,6.545116174102384e-17,6.381564389366694e-23,0.0,1.0374189638095202e-48
"Glendale city, California",6,30000,2,2,0.03916791773309315,9.832347411361875e-11,0.9608320821685837,1.0411330478268715e-16,0.0,7.970696184454774e-19
"Hawthorne city, California",6,32548,4,1,4.2745733064534566e-07,4.131065165129942e-26,5.19676818596961e-10,6.536121779075242e-20,0.9999995719799532,4.304018424400821e-11
"Hayward city, California",6,33000,0,4,0.9999938403051991,7.332000959235237e-13,6.1596940676821676e-06,7.6538809191098e-27,0.0,3.146749740794622e-161
"Hemet city, California",6,33182,4,1,3.1550785491952276e-06,5.126954959429064e-11,2.185694714461747e-08,3.5571805803044086e-10,0.999996822657516,1.5786265996720253e-31
"Hesperia city, California",6,33434,0,1,0.9999998215384752,4.388771889496765e-22,1.518464527286323e-08,1.6327687892551174e-07,0.0,1.4616209756239014e-132
"Huntington Beach city, California",6,36000,2,0,0.11406676683713453,6.053781338206446e-15,0.8859332331628591,6.787029205578182e-36,0.0,1.7521203597862865e-240
"Indio city, California",6,36448,3,3,8.174313029559307e-15,4.6671129154054294e-12,4.51171322368486e-22,0.9999999999953246,0.0,0.0
"Inglewood city, California",6,36546,4,1,0.004190401826219305,1.1428209596261943e-11,6.174634428699594e-12,5.553858219569528e-14,0.99576877303204,4.082512408179257e-05
"Irvine city, California",6,36770,2,0,0.00010002543933535795,5.2048852279172744e-30,0.999899974560664,2.6739085664345536e-81,0.0,2.2790166500257767e-254
"Jurupa Valley city, California",6,37692,0,1,1.0,1.0924036940411309e-24,1.3028504388402983e-16,5.603205905296273e-20,0.0,1.895348838644087e-53
"Lake Elsinore city, California",6,39486,4,4,0.0005342492775454448,1.3280494853498043e-20,0.0011598020953011712,1.2102531769887713e-28,0.9983059486271529,9.580151384872436e-154
"Lakewood city, California",6,39892,4,4,0.0001922757148900243,6.747572533975415e-29,0.002431152815987706,7.553527592111499e-35,0.997376571469122,0.0
"Lancaster city, California",6,40130,0,1,0.9999999992163975,8.363607213002899e-14,7.83518467319349e-10,6.6231931302183826e-21,0.0,2.5322828586505945e-20
"Lodi city, California",6,42202,4,4,1.0436036181923689e-06,3.3933287239035964e-32,1.2292566109642683e-07,1.946357136426187e-13,0.9999988334705261,4.704689616470793e-217
"Long Beach city, California",6,43000,0,2,0.9998952567495082,8.507002598816728e-10,0.00010474239978728593,3.998314862610568e-15,0.0,2.9360678157057195e-44
"Los Angeles city, California",6,44000,0,2,0.9952057652593246,5.728020672756378e-07,2.607044491858024e-06,1.5563923445876346e-15,0.0,0.004791054894114063
"Madera city, California",6,45022,4,1,2.3428553652104452e-08,2.1873902078846453e-77,4.082903203406543e-66,4.347335863612547e-20,0.9999999765714451,1.3434036270420823e-53
"Manteca city, California",6,45484,4,4,2.4947955751026587e-05,2.225364078623206e-40,0.00017315890321809607,1.5594507318576414e-34,0.9998018931410307,0.0
"Menifee city, California",6,46842,4,4,0.0015474382158857226,2.1222215544444712e-15,2.5607282839569352e-05,8.3699170555243e-36,0.9984269545012723,1.1704015518721509e-60
"Merced city, California",6,46898,5,1,0.0002989148606451462,1.9509955127515952e-23,9.339070417058706e-60,1.1734915280956067e-10,0.0,0.9997010850220058
"Milpitas city, California",6,47766,2,0,1.2710002558214398e-17,5.1045747101456805e-102,0.999924211669714,5.581444580948557e-169,7.578833028642038e-05,0.0
"Modesto city, California",6,48354,0,1,0.9999984059976302,1.4255913313559965e-16,1.5932701542792164e-06,7.322158928842009e-10,0.0,1.1318207060281625e-76
"Moreno Valley city, California",6,49270,0,4,0.9999972791124666,3.35892819905758e-23,2.720887532484461e-06,9.566639009855954e-21,0.0,2.655980016444692e-187
"Murrieta city, California",6,50076,0,4,0.9999999999968772,2.516106654403712e-18,3.123542802767991e-12,1.9625574047388708e-39,0.0,0.0
"Napa city, California",6,50258,4,4,2.5179503584586455e-06,4.597327667963382e-22,1.8503740616675316e-07,1.3497743440582783e-43,0.9999972970122357,3.5545662985955784e-253
"Norwalk city, California",6,52526,0,4,0.9999945722728245,7.341277619770826e-28,5.4277271746690716e-06,7.555191417199374e-21,0.0,7.775954950087862e-288
"Oakland city, California",6,53000,0,2,0.998587258999855,0.000360622653689281,0.0010521183464551928,4.684841517927595e-18,0.0,1.0386663962972805e-36
"Oceanside city, California",6,53322,0,4,0.9874899821363572,4.0854655789824935e-13,0.012510017863234078,3.969032244433665e-22,0.0,3.4841845581252075e-205
"Ontario city, California",6,53896,0,4,0.9999999279484503,1.405395716373103e-18,7.205155028972228e-08,3.579335385466263e-19,0.0,8.345321326344901e-159
"Orange city, California",6,53980,0,4,0.9999932542138708,1.7139218884575352e-10,6.7456147366170715e-06,6.113202024773386e-32,0.0,1.5021103435322297e-95
"Oxnard city, California",6,54652,0,1,1.0,1.0086907857838739e-31,4.7898615928754487e-17,5.50957745433131e-27,0.0,5.295667963640056e-128
"Palmdale city, California",6,55156,0,1,0.9999999972896312,2.0020077566432927e-13,2.6886604450466082e-09,2.190026107961796e-16,0.0,2.1508798197618097e-11
"Pasadena city, California",6,56000,2,2,0.0019006415652213975,4.226706712429168e-10,0.998099358012107,8.403148102608041e-23,0.0,1.9245765949208266e-112
"Perris city, California",6,56700,4,4,0.0007604333129793493,2.736625044076559e-33,7.279248290597257e-19,7.1612591896955e-17,0.9992395666870206,1.4929733642550335e-195
"Pittsburg city, California",6,57456,4,1,0.0003418124797171264,1.744786995831112e-15,2.864781446925697e-14,3.679758929460602e-28,0.9996581875202527,4.4659614803694745e-22
"Pleasanton city, California",6,57792,2,0,4.480054028447501e-10,3.0416007874053506e-40,0.985060085567344,2.4101203880114147e-139,0.014939913984650248,0.0
"Pomona city, California",6,58072,0,1,1.0,5.047479561210416e-28,4.759427381946981e-24,3.8015716632887464e-19,0.0,5.616680014432204e-53
"Rancho Cordova city, California",6,59444,0,3,0.9999999972553191,2.7298001456508786e-09,5.603346747136708e-22,1.4881287873639675e-11,0.0,2.6387289018955954e-61
"Rancho Cucamonga city, California",6,59451,0,4,0.9747639393628855,3.349547366076641e-11,0.025236060603618868,1.1406458145922428e-36,0.0,3.19398536020811e-39
"Redding city, California",6,59920,4,3,3.3813910755706438e-09,2.99684583554528e-11,2.117221118290918e-09,1.2982801903653152e-06,0.9999986961912288,1.5696736683658308e-78
"Redlands city, California",6,59962,4,0,7.998345098030962e-05,2.3589293893988458e-24,0.0024267631827523772,5.8142401687516796e-33,0.9974932533662675,9.590151104635187e-170
"Redondo Beach city, California",6,60018,4,0,6.695344745656457e-07,2.5306507269860469e-26,0.2000269280997791,7.390317830433749e-76,0.7999724023657455,8.636023654549917e-292
"Redwood City city, California",6,60102,2,0,1.2743907080977323e-19,1.7213123974107376e-69,0.9999749779492189,1.0649143226784379e-160,2.502205078178331e-05,7.144e-321
"Rialto city, California",6,60466,0,1,0.9999999999936584,5.263111286877675e-22,6.341584169916929e-12,1.8017112387453948e-20,0.0,2.9243895581813406e-33
"Richmond city, California",6,60620,0,4,0.9999999998024771,4.5019708915551784e-15,1.975181783514708e-10,3.631027644412362e-25,0.0,1.3935451158999456e-99
"Riverside city, California",6,62000,0,4,0.9999999992320951,5.037304478441222e-10,2.6416186226496833e-10,1.3043005374953375e-14,0.0,1.962298418295365e-107
"Rocklin city, California",6,62364,4,0,4.8165776239822e-05,5.170800320734229e-14,1.3502008648426398e-06,9.191919717496855e-49,0.9999504840228435,9.721988363355693e-91
"Roseville city, California",6,62938,0,4,0.9813408188573102,8.287985419874505e-06,0.018650893157269633,2.3178553653807745e-29,0.0,7.226986926010456e-136
"Sacramento city, California",6,64000,0,4,0.9998686916971601,2.649709167042625e-06,0.00012865763293982724,9.607325861081988e-10,0.0,1.3675220135959403e-98
"Salinas city, California",6,64224,0,1,1.0,6.702079023770458e-61,3.5017794560190634e-70,2.3955011209286916e-31,0.0,9.801815639363139e-36
"San Bernardino city, California",6,65000,0,1,0.9999655009246832,6.05569800084194e-13,6.143767610939658e-21,2.5950505171000676e-09,0.0,3.449647966084074e-05
"San Buenaventura (Ventura) city, California",6,65042,2,4,0.013850384965894252,6.620188891472391e-17,0.986149615034106,1.540533361133122e-20,0.0,2.793790476143175e-172
"San Diego city, California",6,66000,0,0,0.7164839935366135,6.568045014557093e-08,0.28351594078293707,1.5079144906277679e-24,0.0,4.0099471785444364e-156
"San Francisco city, California",6,67000,2,0,6.452938134822019e-14,1.4713025838286647e-34,0.999999999999936,9.687660441697345e-78,0.0,2.8981150889489874e-228
"San Jose city, California",6,68000,2,0,1.9445633709732776e-06,1.6391097796594818e-39,0.9999980554366299,1.6422988578029414e-85,0.0,4.140494748417857e-253
"San Leandro city, California",6,68084,4,4,0.00022312294463439192,9.366820893914779e-15,1.2967419165110444e-19,6.319802340275348e-23,0.9997768770553558,2.1656182317693178e-52
"San Marcos city, California",6,68196,4,4,1.0471360929922868e-05,2.0191753087033086e-14,9.914924397768126e-07,2.0315711135187582e-39,0.9999885371466104,9.296492045174355e-27
"San Mateo city, California",6,68252,2,0,4.0342726662478916e-14,8.232598760300943e-55,0.996519830593545,7.366140564593664e-129,0.0034801694064148614,2.2721098533455072e-241
"Santa Ana city, California",6,69000,0,1,1.0,1.2342793922945251e-51,4.940557152225989e-32,1.025686717271072e-29,0.0,9.919982851746818e-157
"Santa Barbara city, California",6,69070,4,2,4.0211747636443665e-06,2.554909418188823e-10,2.0316757009140123e-20,1.5088789265425456e-28,0.9999959785697454,3.390254921517961e-51
"Santa Clara city, California",6,69084,2,0,1.2794222624973718e-19,2.9578017410797934e-69,1.0,2.1997013638331377e-162,0.0,0.0
"Santa Clarita city, California",6,69088,2,0,0.021825463246993984,7.547229449325577e-24,0.9781745367530054,1.513287612013885e-47,0.0,0.0
"Santa Maria city, California",6,69196,0,1,0.9999994728094141,4.106721965943657e-43,2.6098823547106382e-95,8.155334538076971e-24,0.0,5.271905853093015e-07
"Santa Monica city, California",6,70000,4,0,3.2303665030765537e-07,3.9015042020120226e-25,0.2885163156212446,3.1523322535700786e-55,0.711483361342105,8.964432244558235e-175
"Santa Rosa city, California",6,70098,0,4,0.9990754184606476,1.2394025819589548e-09,0.0009245802999500649,6.638679271229126e-17,0.0,3.780245431698037e-138
"Simi Valley city, California",6,72016,2,0,0.10332557732990318,2.3868187148898904e-24,0.896674422670097,1.8581627784491432e-57,0.0,0.0
"South Gate city, California",6,73080,4,1,0.02495568663794287,1.7282249324011692e-58,4.4999939874816184e-42,5.054455702515745e-31,0.9750443133620549,1.955105925648371e-15
