NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5,GMM_p_k6,GMM_p_k7
"Chico city, California",6,13014,6,7,0.0,2.3812774151355397e-31,5.1668608333772994e-08,0.0,1.8308492853926552e-12,7.224504758096457e-14,0.9999999483293087,1.7942918180360078e-13
"Chino city, California",6,13210,3,0,0.0,3.507255800332936e-08,0.0007913689845537443,0.9992085959064387,3.644909969717368e-11,6.463256313936072e-28,2.337302669342565e-39,5.517749921025723e-51
"Chino Hills city, California",6,13214,3,6,0.0,0.0005333309054152667,0.000163263470424366,0.9993034056241599,1.589348058671596e-31,1.1814156902507539e-265,3.423007124568476e-162,2.7493775246241722e-67
"Chula Vista city, California",6,13392,2,0,0.0,7.455376348172712e-07,0.9995934938645076,0.0,0.0004057605978576161,6.533104676150835e-90,1.50253844925056e-32,1.2450133657900447e-31
"Clovis city, California",6,14218,2,0,0.0,0.0008536499694437287,0.9863342152096227,0.0,0.012812134816035185,4.262665426518578e-38,6.638310119486979e-21,4.898589823493101e-12
"Compton city, California",6,15044,2,1,0.0,4.414149964692744e-45,1.0,0.0,2.8766529590666254e-31,3.653626436784599e-161,2.6513990043457934e-27,1.012288361531666e-27
"Concord city, California",6,16000,2,0,0.0,0.0008878130360271354,0.9983342350445505,0.0,0.0007779519194226379,6.826711902726803e-145,3.83953990102676e-43,3.8315860196131385e-28
"Corona city, California",6,16350,2,0,0.0,0.001759497524818684,0.9982389797556478,0.0,1.5227195332644452e-06,8.310609577280029e-134,1.6634699345183524e-42,1.1218952166281144e-27
"Costa Mesa city, California",6,16532,2,6,0.0,0.0001943909414240132,0.9993391080708649,0.0,0.00046650098771083224,1.090238512193575e-213,1.2538321269325224e-44,6.847667893467159e-28
"Daly City city, California",6,17918,3,6,0.0,1.8748381617775808e-12,4.079289033921823e-08,0.9999999543217434,4.8834910132709565e-09,9.863820574603431e-178,6.924660596929992e-92,4.614912149407547e-37
"Davis city, California",6,18100,5,5,0.0,1.3084655752139513e-79,6.762246877875817e-52,3.639959183605596e-12,8.329196736799944e-27,0.9999999999963585,2.7157015203608235e-46,1.333100001462988e-63
"Downey city, California",6,19766,3,0,0.0,3.0751066250918698e-15,0.00044763397489624415,0.999550101633808,2.2643912918059067e-06,1.2058773860832307e-72,5.739403897978523e-16,2.4177545821476668e-17
"East Los Angeles CDP, California",6,20802,2,1,0.0,3.7886193941200185e-61,0.9999999636889167,0.0,1.384701957909551e-36,2.5329412007898644e-226,3.631108308220426e-08,3.233149434037281e-19
"El Cajon city, California",6,21712,2,1,0.0,6.775904335747373e-29,0.999574210016114,0.0,0.0004257899838864619,5.964177029749784e-52,1.733099902116779e-23,2.9711082504392056e-22
"Elk Grove city, California",6,22020,2,0,0.0,0.0002426300145568127,0.9997548147067755,0.0,2.5552786668396517e-06,9.344549737214775e-142,4.558204530746367e-63,1.816647172004138e-52
"El Monte city, California",6,22230,2,1,0.0,3.1234738023326795e-45,0.9999999805718842,0.0,1.3156096262329277e-26,2.077513220965119e-161,1.9428115021053157e-08,1.1691592304927178e-18
"Escondido city, California",6,22804,2,0,0.0,4.31529021353162e-07,0.9999841521877003,0.0,1.5416283278094764e-05,1.4463190793077573e-164,5.384047227341547e-30,3.1165665418805275e-23
"Fairfield city, California",6,23182,2,0,0.0,1.0693801240353835e-10,0.9994959776405953,0.0,0.0005040222524659348,2.7007181258434698e-102,8.034408228101556e-40,4.252713029332221e-30
"Folsom city, California",6,24638,3,6,0.0,0.0016729870519573138,2.2978283935195503e-06,0.9983247151187966,8.522866419061513e-13,0.0,2.460463670093694e-89,3.095608545537188e-60
"Fontana city, California",6,24680,2,0,0.0,1.3174225989156956e-11,0.9999999999485638,0.0,3.82615464436809e-11,2.384539096662554e-222,5.49716528909258e-73,4.5588292886980366e-30
"Fremont city, California",6,26000,1,6,0.0,0.9999999999994706,5.290090611068857e-13,0.0,2.9985071544349754e-23,0.0,1.1389419337520603e-176,1.525823384309801e-141
"Fresno city, California",6,27000,2,7,0.0,3.281577874945434e-30,0.9998814204498342,0.0,8.151485298928549e-08,2.1808057216912172e-95,0.00011849410623869943,3.9290749785542176e-09
